"","title","channelTitle","snippet.title"
"185","우리가 힘든 삶을 버티는 이유는 바로 '너' 때문이다. 4050 노후준비 그리고 행복한 노후 @방송대 지식+ 자녀 | 교육 | 은퇴 | 부모 | 희생","방송대 지식+","Education"
"186","손흥민 1골 2어시, 난리난 현지반응.. 하지만 무리뉴는 왜 빡쳤을까?","영알남YAN","Education"
"187","각 연도 별 최고의 드립은 무엇일까? [00년부터 09년까지]","아이템의 인벤토리","Education"
"188","손흥민 언급한 무리뉴가 자괴감에 빠질 수밖에 없는 이유","영알남YAN","Education"
"189","1월부터 투명 페트병 이렇게 버리면 과태료 30만원냅니다!! 꼭, 아셔야...","버미쌤","Education"
"190","[와우넷TV_LIVE] 잭슨홀 파월 2% 이상의 인플레이션 용인하겠다, 오늘은 매우 의미 있는 날","와우넷 주식투자","Education"
"191","김지윤 소장 #07 | ,"사피엔스 스튜디오","Education"
"192","불행한 노후 남의 탓인가? 바꿔야 할 당신의 고집은 무엇인가. @방송대 지식+  | 행복한노후 | 은퇴 | 자산 | 강연","방송대 지식+","Education"
"193",","MKTV 김미경TV","Education"
"194","[책이벤트] 두려움을 넘어서 도전을 인생의 습관으로 만드는 법 | 박세리 바즈인터내셔널대표, 도쿄올림픽 골프 국가대표팀 감독 | 성공 좌절 습관 | 세바시 1242회","세바시 강연 Sebasi Talk","Education"
